NAME,TYPE/LABEL,PROGRAM,HOURS
Mid-School 1,participant,Middle School,after school
Mid-School 2,participant,Middle School,after school
Mid-School 3,participant,Middle School,after school
Mid-School 4,participant,Middle School,after school
Mid-School 5,participant,Middle School,after school
Mid-School 6,participant,Middle School,after school
Mid-School 7,participant,Middle School,after school
Mid-School 8,participant,Middle School,after school
Mid-School 9,participant,Middle School,after school
Mid-School 10,participant,Middle School,after school
Mid-School 11,participant,Middle School,after school
Mid-School 12,participant,Middle School,after school
Mid-School 13,participant,Middle School,after school
Mid-School 14,participant,Middle School,after school
Mid-School 15,participant,Middle School,after school
Mid-School 16,participant,Middle School,after school
Mid-School 17,participant,Middle School,after school
Mid-School 18,participant,Middle School,after school
Mid-School 19,participant,Middle School,after school
Mid-School 20,participant,Middle School,after school
Mid-School 21,participant,Middle School,after school
Mid-School 22,participant,Middle School,after school
Mid-School 23,participant,Middle School,after school
Mid-School 24,participant,Middle School,after school
Mid-School 25,participant,Middle School,after school
Mid-School 26,participant,Middle School,after school
Mid-School 27,participant,Middle School,after school
Mid-School 28,participant,Middle School,after school
Mid-School 29,participant,Middle School,after school
Mid-School 30,participant,Middle School,after school
Mid-School 31,participant,Middle School,after school
Mid-School 32,participant,Middle School,after school
Mid-School 33,participant,Middle School,after school
Mid-School 34,participant,Middle School,after school
Mid-School 35,participant,Middle School,after school
Mid-School 36,participant,Middle School,after school
Mid-School 37,participant,Middle School,after school
Mid-School 38,participant,Middle School,after school
Mid-School 39,participant,Middle School,after school
Mid-School 40,participant,Middle School,after school
High-School 1,participant,High School,after school
High-School 2,participant,High School,after school
High-School 3,participant,High School,after school
High-School 4,participant,High School,after school
High-School 5,participant,High School,after school
High-School 6,participant,High School,after school
High-School 7,participant,High School,after school
High-School 8,participant,High School,after school
High-School 9,participant,High School,after school
High-School 10,participant,High School,after school
High-School 11,participant,High School,after school
High-School 12,participant,High School,after school
High-School 13,participant,High School,after school
High-School 14,participant,High School,after school
High-School 15,participant,High School,after school
High-School 16,participant,High School,after school
High-School 17,participant,High School,after school
High-School 18,participant,High School,after school
High-School 19,participant,High School,after school
High-School 20,participant,High School,after school
High-School 21,participant,High School,after school
High-School 22,participant,High School,after school
High-School 23,participant,High School,after school
High-School 24,participant,High School,after school
High-School 25,participant,High School,after school
High-School 26,participant,High School,after school
High-School 27,participant,High School,after school
High-School 28,participant,High School,after school
High-School 29,participant,High School,after school
High-School 30,participant,High School,after school
High-School 31,participant,High School,after school
High-School 32,participant,High School,after school
High-School 33,participant,High School,after school
High-School 34,participant,High School,after school
High-School 35,participant,High School,after school
High-School 36,participant,High School,after school
High-School 37,participant,High School,after school
High-School 38,participant,High School,after school
High-School 39,participant,High School,after school
High-School 40,participant,High School,after school
High-School 41,participant,High School,after school
High-School 42,participant,High School,after school
High-School 43,participant,High School,after school
High-School 44,participant,High School,after school
High-School 45,participant,High School,after school
High-School 46,participant,High School,after school
High-School 47,participant,High School,after school
High-School 48,participant,High School,after school
High-School 49,participant,High School,after school
High-School 50,participant,High School,after school
High-School 51,participant,High School,after school
High-School 52,participant,High School,after school
High-School 53,participant,High School,after school
High-School 54,participant,High School,after school
High-School 55,participant,High School,after school
High-School 56,participant,High School,after school
High-School 57,participant,High School,after school
High-School 58,participant,High School,after school
High-School 59,participant,High School,after school
High-School 60,participant,High School,after school
High-School 61,participant,High School,after school
High-School 62,participant,High School,after school
High-School 63,participant,High School,after school
High-School 64,participant,High School,after school
High-School 65,participant,High School,after school
High-School 66,participant,High School,after school
High-School 67,participant,High School,after school
High-School 68,participant,High School,after school
High-School 69,participant,High School,after school
High-School 70,participant,High School,after school
High-School 71,participant,High School,after school
High-School 72,participant,High School,after school
High-School 73,participant,High School,after school
High-School 74,participant,High School,after school
High-School 75,participant,High School,after school
High-School 76,participant,High School,after school
High-School 77,participant,High School,after school
High-School 78,participant,High School,after school
High-School 79,participant,High School,after school
High-School 80,participant,High School,after school
High-School 81,participant,High School,after school
High-School 82,participant,High School,after school
High-School 83,participant,High School,after school
High-School 84,participant,High School,after school
High-School 85,participant,High School,after school
High-School 86,participant,High School,after school
High-School 87,participant,High School,after school
High-School 88,participant,High School,after school
High-School 89,participant,High School,after school
High-School 90,participant,High School,after school
High-School 91,participant,High School,after school
High-School 92,participant,High School,after school
High-School 93,participant,High School,after school
High-School 94,participant,High School,after school
High-School 95,participant,High School,after school
High-School 96,participant,High School,after school
High-School 97,participant,High School,after school
High-School 98,participant,High School,after school
High-School 99,participant,High School,after school
High-School 100,participant,High School,after school
High-School 101,participant,High School,after school
High-School 102,participant,High School,after school
High-School 103,participant,High School,after school
High-School 104,participant,High School,after school
High-School 105,participant,High School,after school
High-School 106,participant,High School,after school
High-School 107,participant,High School,after school
High-School 108,participant,High School,after school
High-School 109,participant,High School,after school
High-School 110,participant,High School,after school
High-School 111,participant,High School,after school
High-School 112,participant,High School,after school
High-School 113,participant,High School,after school
High-School 114,participant,High School,after school
High-School 115,participant,High School,after school
High-School 116,participant,High School,after school
High-School 117,participant,High School,after school
High-School 118,participant,High School,after school
High-School 119,participant,High School,after school
High-School 120,participant,High School,after school
High-School 121,participant,High School,after school
High-School 122,participant,High School,after school
High-School 123,participant,High School,after school
High-School 124,participant,High School,after school
High-School 125,participant,High School,after school
High-School 126,participant,High School,after school
High-School 127,participant,High School,after school
Digital Steward 1,participant,Digital Stewards,am
Digital Steward 2,participant,Digital Stewards,am
Digital Steward 3,participant,Digital Stewards,am
Digital Steward 4,participant,Digital Stewards,am
Digital Steward 5,participant,Digital Stewards,am
Digital Steward 6,participant,Digital Stewards,am
Digital Steward 7,participant,Digital Stewards,am
Digital Steward 8,participant,Digital Stewards,am
Digital Steward 9,participant,Digital Stewards,am
Digital Steward 10,participant,Digital Stewards,am
Digital Steward 11,participant,Digital Stewards,am
Digital Steward 12,participant,Digital Stewards,am
Digital Steward 13,participant,Digital Stewards,am
Digital Steward 14,participant,Digital Stewards,am
Digital Steward 15,participant,Digital Stewards,am
Local Leader 1,participant,Local Leaders,pm
Local Leader 2,participant,Local Leaders,pm
Local Leader 3,participant,Local Leaders,pm
Local Leader 4,participant,Local Leaders,pm
Local Leader 5,participant,Local Leaders,pm
Local Leader 6,participant,Local Leaders,pm
Local Leader 7,participant,Local Leaders,pm
Local Leader 8,participant,Local Leaders,pm
Local Leader 9,participant,Local Leaders,pm
Local Leader 10,participant,Local Leaders,pm
Local Leader 11,participant,Local Leaders,pm
Local Leader 12,participant,Local Leaders,pm
Local Leader 13,participant,Local Leaders,pm
Local Leader 14,participant,Local Leaders,pm
Local Leader 15,participant,Local Leaders,pm
Local Leader 16,participant,Local Leaders,pm
Local Leader 17,participant,Local Leaders,pm
Local Leader 18,participant,Local Leaders,pm
Local Leader 19,participant,Local Leaders,pm
Local Leader 20,participant,Local Leaders,pm
Real Rite 1,participant,Participatory Research (PAR),am
Real Rite 2,participant,Participatory Research (PAR),am
Real Rite 3,participant,Participatory Research (PAR),am
Real Rite 4,participant,Participatory Research (PAR),am
Real Rite 5,participant,Participatory Research (PAR),am
Real Rite 6,participant,Participatory Research (PAR),am
Real Rite 7,participant,Participatory Research (PAR),am
Real Rite 8,participant,Participatory Research (PAR),am
Real Rite 9,participant,Participatory Research (PAR),am
Real Rite 10,participant,Participatory Research (PAR),am
RHI Fellow 1 ,participant,RHI Fellows,pm
RHI Fellow 2,participant,RHI Fellows,pm
RHI Fellow 3,participant,RHI Fellows,pm
RHI Fellow 4,participant,RHI Fellows,pm
RHI Fellow 5,participant,RHI Fellows,pm
RHI Fellow 6,participant,RHI Fellows,pm
RHI Fellow 7,participant,RHI Fellows,pm
RHI Fellow 8,participant,RHI Fellows,pm
RHI Fellow 9,participant,RHI Fellows,pm
RHI Fellow 10,participant,RHI Fellows,pm
